SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-10-2016,Single Family Residential,11332 Mcgirk Ave,El Monte,CA,91732,510000,4,3.0,619 - El Monte,1761,2298,1988,354,290,75,Sold,,,http://www.redfin.com/CA/El-Monte/11332-Mc-Girk-Ave-91732/home/7998923,i-Tech MLS,316004882,N,Y,34.0842276,-118.0221407
PAST SALE,,Single Family Residential,2744 Washington Ave,El Monte,CA,91733,120000,6,4.0,,3150,8046,1939,,38,,,,,http://www.redfin.com/CA/El-Monte/2744-Washington-Ave-91733/home/7795213,,,N,Y,34.061633,-118.0376844
PAST SALE,November-28-2012,Single Family Residential,10416 Hoyt Park Pl,El Monte,CA,91733,430000,4,1.75,619 - El Monte,1661,13010,1940,1705,259,,Sold,,,http://www.redfin.com/CA/El-Monte/10416-Hoyt-Park-Pl-91733/home/8004401,CRISNet,F12101343,N,Y,34.0657134,-118.0447243
PAST SALE,,Condo/Co-op,10104 Rio Hondo Pkwy,El Monte,CA,91733,250000,4,3.0,,2510,,1990,,100,,,,,http://www.redfin.com/CA/El-Monte/10104-Rio-Hondo-Pkwy-91733/home/8005338,,,N,Y,34.0652736,-118.0492233
PAST SALE,,Single Family Residential,10127 Towneway Dr,El Monte,CA,91733,196000,4,3.0,,2402,5422,1956,,82,,,,,http://www.redfin.com/CA/El-Monte/10127-Towneway-Dr-91733/home/8005461,,,N,Y,34.0677727,-118.0491981
PAST SALE,,Single Family Residential,10117 Towneway Dr,El Monte,CA,91733,195000,4,2.0,,1806,6081,1956,,108,,,,,http://www.redfin.com/CA/El-Monte/10117-Towneway-Dr-91733/home/8005462,,,N,Y,34.0676083,-118.04928
PAST SALE,February-17-2017,Multi-Family (2-4 Unit),12525 Fineview St,El Monte,CA,91732,720000,5,3.0,619 - El Monte,3167,19126,1947,163,227,,Sold,,,http://www.redfin.com/CA/El-Monte/12525-Fineview-St-91732/home/7797580,CRMLS,PW16741069,N,Y,34.044916,-118.022089
PAST SALE,,Condo/Co-op,2635 Meeker Ave,El Monte,CA,91732,145000,4,3.0,,1536,,1988,,94,,,,,http://www.redfin.com/CA/El-Monte/2635-Meeker-Ave-91732/home/7795742,,,N,Y,34.0596544,-118.0273514
PAST SALE,,Multi-Family (5+ Unit),11126 Elliott Ave,El Monte,CA,91733,418000,12,12.0,,6228,16303,1988,,67,,,,,http://www.redfin.com/CA/El-Monte/11126-Elliott-Ave-91733/home/7795936,,,N,Y,34.0582695,-118.0331091
PAST SALE,,Condo/Co-op,11122 Schmidt Rd,El Monte,CA,91733,175500,4,3.0,,2131,,1994,,82,,,,,http://www.redfin.com/CA/El-Monte/11122-Schmidt-Rd-91733/home/7796039,,,N,Y,34.0567468,-118.0330629
PAST SALE,,Multi-Family (2-4 Unit),11179 Bonwood Rd,El Monte,CA,91733,168000,8,4.0,,3352,7631,1958,,50,,,,,http://www.redfin.com/CA/El-Monte/11179-Bonwood-Rd-91733/home/7796079,,,N,Y,34.0553549,-118.0313656
PAST SALE,,Multi-Family (2-4 Unit),11954 Klingerman St Apt B,El Monte,CA,91732,277000,6,4.0,,3819,8989,1950,,73,,,,,http://www.redfin.com/CA/El-Monte/11954-Klingerman-St-91732/unit-B/home/7796596,,,N,Y,34.0546287,-118.0286369
PAST SALE,June-26-2012,Single Family Residential,11946 Bonwood Rd,El Monte,CA,91732,360000,4,2.0,619 - El Monte,1600,7398,1947,1860,225,,Sold,,,http://www.redfin.com/CA/El-Monte/11946-Bonwood-Rd-91732/home/7796611,CRMLS,A12015197,N,Y,34.0541094,-118.0294425
PAST SALE,,Condo/Co-op,12239 Morehouse St,El Monte,CA,91732,180000,4,4.0,,2343,,1992,,77,,,,,http://www.redfin.com/CA/El-Monte/12239-Morehouse-St-91732/home/7796945,,,N,Y,34.0534004,-118.0217696
PAST SALE,March-2-2000,Single Family Residential,2343 PARKWAY Dr,El Monte,CA,91732,165000,4,,619 - El Monte,1197,6939,1961,6359,138,,Sold,,,http://www.redfin.com/CA/El-Monte/2343-Parkway-Dr-91732/home/7797597,CRMLS,P160912,N,Y,34.0458472,-118.0196288
PAST SALE,June-30-2015,Single Family Residential,12616 Klingerman St,El Monte,CA,91732,440000,4,2.0,619 - El Monte,1197,5780,1961,761,368,,Sold,,,http://www.redfin.com/CA/El-Monte/12616-Klingerman-St-91732/home/7797616,CRMLS,TR14241924,N,Y,34.0459703,-118.0182889
PAST SALE,August-9-2012,Single Family Residential,2161 Amber Ave,El Monte,CA,91732,315000,4,2.0,619 - El Monte,1233,4948,1966,1816,255,,Sold,,,http://www.redfin.com/CA/El-Monte/2161-Amber-Ave-91732/home/7799725,CRMLS,C12060117,N,Y,34.0436183,-118.021722
PAST SALE,,Multi-Family (5+ Unit),12143 Exline St,El Monte,CA,91732,665000,21,22.0,,10552,19272,1959,,63,,,,,http://www.redfin.com/CA/El-Monte/12143-Exline-St-91732/home/7987375,,,N,Y,34.0657381,-118.013538
PAST SALE,,Condo/Co-op,11860 Lansdale Ave Apt D,El Monte,CA,91732,105000,4,3.0,,1534,,1988,,68,,,,,http://www.redfin.com/CA/El-Monte/11860-Lansdale-Ave-91732/unit-D/home/7996857,,,N,Y,34.065212,-118.0200876
PAST SALE,,Condo/Co-op,3128 La Madera Ave,El Monte,CA,91732,210000,4,3.0,,1993,,1990,,105,,,,,http://www.redfin.com/CA/El-Monte/3128-La-Madera-Ave-91732/home/7996874,,,N,Y,34.0646339,-118.0239744
PAST SALE,,Single Family Residential,3049 San Ignacio Dr,El Monte,CA,91732,120000,4,1.0,,1437,7361,1940,,84,,,,,http://www.redfin.com/CA/El-Monte/3049-San-Ignacio-Dr-91732/home/7996996,,,N,Y,34.0651405,-118.0272058
PAST SALE,,Single Family Residential,3033 San Ignacio Dr,El Monte,CA,91732,165000,4,2.0,,1243,7455,1939,,133,,,,,http://www.redfin.com/CA/El-Monte/3033-San-Ignacio-Dr-91732/home/7996999,,,N,Y,34.0648052,-118.0275091
PAST SALE,,Condo/Co-op,2945 Allgeyer Ave,El Monte,CA,91732,216000,4,3.0,,1602,,2001,,135,,,,,http://www.redfin.com/CA/El-Monte/2945-Allgeyer-Ave-91732/home/8112280,,,N,Y,34.0606864,-118.0187506
PAST SALE,,Multi-Family (2-4 Unit),2442 Floradale Ave,El Monte,CA,91732,150000,5,3.0,,2700,7727,1941,,56,,,,,http://www.redfin.com/CA/El-Monte/2442-Floradale-Ave-91732/home/7797117,,,N,Y,34.056046,-118.027686
PAST SALE,,Single Family Residential,11351 Ranchito St,El Monte,CA,91732,163000,4,3.0,,2311,11086,1963,,71,,,,,http://www.redfin.com/CA/El-Monte/11351-Ranchito-St-91732/home/7999483,,,N,Y,34.0906079,-118.0196793
PAST SALE,,Condo/Co-op,11324 Mc Girk Ave,El Monte,CA,91732,176000,4,3.0,,1716,,1988,,103,,,,,http://www.redfin.com/CA/El-Monte/11324-Mc-Girk-Ave-91732/home/7998926,,,N,Y,34.0842804,-118.022321
PAST SALE,,Multi-Family (5+ Unit),11161 Bonwood Rd,El Monte,CA,91733,180000,12,12.0,,5874,6735,1958,,31,,,,,http://www.redfin.com/CA/El-Monte/11161-Bonwood-Rd-91733/home/7796082,,,N,Y,34.0553582,-118.0319238
PAST SALE,,Multi-Family (2-4 Unit),3929 Eunice Ave,El Monte,CA,91731,41500,5,3.0,,2340,5775,1963,,18,,,,,http://www.redfin.com/CA/El-Monte/3929-Eunice-Ave-91731/home/8003304,,,N,Y,34.0803972,-118.0537936
PAST SALE,,Multi-Family (2-4 Unit),3100 Seaman Ave,El Monte,CA,91733,182000,8,4.0,,2668,7993,1963,,68,,,,,http://www.redfin.com/CA/El-Monte/3100-Seaman-Ave-91733/home/8005270,,,N,Y,34.0642,-118.052329
PAST SALE,,Multi-Family (2-4 Unit),10406 Fern St,El Monte,CA,91733,214000,4,4.0,,2650,10088,1946,,81,,,,,http://www.redfin.com/CA/El-Monte/10406-Fern-St-91733/home/7794787,,,N,Y,34.058594,-118.044543
PAST SALE,,Single Family Residential,2636 Central Ave,El Monte,CA,91733,170000,4,2.0,,1336,7374,1946,,127,,,,,http://www.redfin.com/CA/El-Monte/2636-Central-Ave-91733/home/7794720,,,N,Y,34.0600977,-118.0467009
PAST SALE,,Single Family Residential,10137 Fern St,El Monte,CA,91733,145000,6,3.0,,2065,6061,1940,,70,,,,,http://www.redfin.com/CA/El-Monte/10137-Fern-St-91733/home/7795080,,,N,Y,34.0593537,-118.0479493
PAST SALE,June-14-2010,Single Family Residential,2630 Havenpark Ave,El Monte,CA,91733,355000,5,2.0,619 - El Monte,1506,4918,1957,2603,236,,Sold,,,http://www.redfin.com/CA/El-Monte/2630-Havenpark-Ave-91733/home/7795095,CRMLS,C10045118,N,Y,34.0599532,-118.047661
PAST SALE,,Condo/Co-op,2810 Consol Ave Apt D,El Monte,CA,91733,175000,4,2.0,,1770,,1991,,99,,,,,http://www.redfin.com/CA/El-Monte/2810-Consol-Ave-91733/unit-D/home/7795612,,,N,Y,34.0615741,-118.0335493
PAST SALE,,Single Family Residential,2711 Musgrove Ave,El Monte,CA,91732,138000,4,1.0,,1008,8885,1937,,137,,,,,http://www.redfin.com/CA/El-Monte/2711-Musgrove-Ave-91732/home/7795756,,,N,Y,34.0604697,-118.0282742
PAST SALE,,Multi-Family (2-4 Unit),2721 Musgrove Ave,El Monte,CA,91732,400000,8,4.0,,2668,3851,1962,,150,,,,,http://www.redfin.com/CA/El-Monte/2721-Musgrove-Ave-91732/home/7795754,,,N,Y,34.0607795,-118.0285195
PAST SALE,,Condo/Co-op,11145 Elliott Ave,El Monte,CA,91733,153000,4,3.0,,1757,,1996,,87,,,,,http://www.redfin.com/CA/El-Monte/11145-Elliott-Ave-91733/home/7795851,,,N,Y,34.0590187,-118.0325091
PAST SALE,,Condo/Co-op,11209 Elliott Ave,El Monte,CA,91733,168000,4,3.0,,1503,,1992,,112,,,,,http://www.redfin.com/CA/El-Monte/11209-Elliott-Ave-91733/home/7795863,,,N,Y,34.0590111,-118.0319516
PAST SALE,June-14-2013,Single Family Residential,11243 Schmidt Rd,El Monte,CA,91733,408888,4,2.0,619 - El Monte,1624,7310,2013,1507,252,,Sold,,,http://www.redfin.com/CA/El-Monte/11243-Schmidt-Rd-91733/home/7795929,CRMLS,CV13051621,N,Y,34.0575321,-118.0308183
PAST SALE,April-1-2015,Single Family Residential,2517 Peck Rd,El Monte,CA,91733,490000,4,1.75,619 - El Monte,1485,6317,1951,851,330,,Sold,,,http://www.redfin.com/CA/El-Monte/2517-Peck-Rd-91733/home/7795930,CRMLS,WS14263308,N,Y,34.0577622,-118.0308627
