SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Single Family Residential,2707 Bryce Rd,El Monte,CA,91732,33600,3,2.0,,1188,5103,1972,,28,,,,,http://www.redfin.com/CA/El-Monte/2707-Bryce-Rd-91732/home/7797862,,,N,Y,34.0527367,-118.0164665
PAST SALE,April-3-2007,Single Family Residential,4555 Ranger Ave,El Monte,CA,91731,455000,3,1.0,619 - El Monte,1024,5500,1954,3771,444,,Sold,,,http://www.redfin.com/CA/El-Monte/4555-Ranger-Ave-91731/home/8002659,i-Tech MLS,22082342,N,Y,34.0877454,-118.0369234
PAST SALE,June-25-2015,Condo/Co-op,11937 Magnolia St #6,El Monte,CA,91732,210000,3,2.0,619 - El Monte,1071,51612,1973,766,196,150,Sold,,,http://www.redfin.com/CA/El-Monte/11937-Magnolia-St-91732/unit-6/home/7796108,CRMLS,PW15033865,N,Y,34.060531,-118.0225981
PAST SALE,,Condo/Co-op,3725 Cogswell Rd Apt C,El Monte,CA,91732,128000,3,3.0,,1252,,1984,,102,,,,,http://www.redfin.com/CA/El-Monte/3725-Cogswell-Rd-91732/unit-C/home/7997194,,,N,Y,34.07176,-118.01513
PAST SALE,,Single Family Residential,2526 Luder Ave,South El Monte,CA,91733,191500,2,1.0,,780,8181,1940,,246,,,,,http://www.redfin.com/CA/South-El-Monte/2526-Luder-Ave-91733/home/7794771,,,N,Y,34.0581375,-118.0456584
PAST SALE,,Single Family Residential,3945 Velma Ave,El Monte,CA,91731,135000,2,1.0,,904,6656,1900,,149,,,,,http://www.redfin.com/CA/El-Monte/3945-Velma-Ave-91731/home/8003502,,,N,Y,34.0798149,-118.0479064
PAST SALE,,Single Family Residential,3933 Velma Ave,El Monte,CA,91731,21500,3,2.0,,1249,7130,1939,,17,,,,,http://www.redfin.com/CA/El-Monte/3933-Velma-Ave-91731/home/8003504,,,N,Y,34.079492,-118.048028
PAST SALE,,Single Family Residential,10149 Railroad Dr,El Monte,CA,91731,77500,2,1.0,,540,4758,1947,,144,,,,,http://www.redfin.com/CA/El-Monte/10149-Railroad-Dr-91731/home/8003456,,,N,Y,34.0817102,-118.0475956
PAST SALE,July-24-2009,Single Family Residential,2627 Doreen Ave,El Monte,CA,91733,410000,3,2.0,619 - El Monte,1688,8160,1946,2928,243,,Sold,,,http://www.redfin.com/CA/El-Monte/2627-Doreen-Ave-91733/home/7794699,CRMLS,H08172979,N,Y,34.0597919,-118.0450959
PAST SALE,,Single Family Residential,2258 Allgeyer Ave,El Monte,CA,91732,125000,3,1.0,,1006,6991,1951,,124,,,,,http://www.redfin.com/CA/El-Monte/2258-Allgeyer-Ave-91732/home/7796790,,,N,Y,34.0517832,-118.0280694
PAST SALE,,Single Family Residential,2207 Amber Ave,El Monte,CA,91732,185000,3,2.0,,1575,6203,1941,,117,,,,,http://www.redfin.com/CA/El-Monte/2207-Amber-Ave-91732/home/7797680,,,N,Y,34.0439271,-118.0210403
PAST SALE,,Condo/Co-op,5320 Peck Rd Apt 33,El Monte,CA,91732,136500,3,3.0,,1240,,1981,,110,,,,,http://www.redfin.com/CA/El-Monte/5320-Peck-Rd-91732/unit-33/home/7980033,,,N,Y,34.0982314,-118.0106491
PAST SALE,,Single Family Residential,3332 Nevada Ave,El Monte,CA,91731,138000,3,1.0,,1316,6566,1925,,105,,,,,http://www.redfin.com/CA/El-Monte/3332-Nevada-Ave-91731/home/8004108,,,N,Y,34.0693259,-118.03675
PAST SALE,,Condo/Co-op,4829 Agnes Ave,Temple City,CA,91780,465000,3,3.0,,1325,,1980,,351,,,,,http://www.redfin.com/CA/Temple-City/4829-Agnes-Ave-91780/home/8009818,,,N,Y,34.0911664,-118.0516566
PAST SALE,December-14-2010,Single Family Residential,3310 Asher St,El Monte,CA,91733,350000,3,1.75,619 - El Monte,1170,5497,1956,2420,299,,Sold,,,http://www.redfin.com/CA/El-Monte/3310-Asher-St-91733/home/8005364,CRMLS,W10093500,N,Y,34.0673462,-118.0536794
PAST SALE,,Single Family Residential,11309 Elliott Ave,El Monte,CA,91732,135000,3,2.0,,1236,5507,1981,,109,,,,,http://www.redfin.com/CA/El-Monte/11309-Elliott-Ave-91732/home/7795776,,,N,Y,34.059108,-118.029854
PAST SALE,September-30-2011,Single Family Residential,3130 Baseball Ave,El Monte,CA,91732,300000,3,2.0,619 - El Monte,1474,7689,1990,2130,204,,Sold,,,http://www.redfin.com/CA/El-Monte/3130-Baseball-Ave-91732/home/7996886,CRMLS,C11120356,N,Y,34.064089,-118.0232274
PAST SALE,,Vacant Land,9748 Abilene St,Rosemead,CA,91770,935000,2,3.0,,789,9010,1952,,1185,,,,,http://www.redfin.com/CA/Rosemead/9748-Abilene-St-91770/home/22844840,,,N,Y,34.082138,-118.056077
